2026-05-12 22:59:46.984804,msedge.exe,5.01
2026-05-12 22:59:51.992024,explorer.exe,5.0
2026-05-12 22:59:57.003026,Notepad.exe,5.01
2026-05-12 23:00:57.084172,chrome.exe,60.08
2026-05-12 23:01:02.090823,Code.exe,5.0
2026-05-12 23:01:07.099738,chrome.exe,5.01
2026-05-12 23:01:17.111631,Code.exe,10.01
2026-05-12 23:02:02.157110,msedge.exe,45.04
2026-05-12 23:02:12.172316,chrome.exe,10.01
2026-05-12 23:02:17.182773,msedge.exe,5.01
2026-05-12 23:03:17.265611,chrome.exe,60.08
2026-05-12 23:03:32.319143,msedge.exe,15.02
2026-05-12 23:04:17.436812,chrome.exe,45.05
2026-05-12 23:04:22.444399,explorer.exe,5.0
2026-05-12 23:04:32.461184,Code.exe,10.01
2026-05-12 23:04:37.470684,chrome.exe,5.01
12:05:26 23:04:47,System Idle Process,5
12:05:26 23:05:17,System Idle Process,5
12:05:26 23:05:22,System Idle Process,5
12:05:26 23:05:27,System Idle Process,5
12:05:26 23:05:32,System Idle Process,5
12:05:26 23:05:37,System Idle Process,5
12:05:26 23:05:42,System Idle Process,5
12:05:26 23:05:47,System Idle Process,5
12:05:26 23:05:52,System Idle Process,5
12:05:26 23:05:57,System Idle Process,5
12:05:26 23:06:02,System Idle Process,5
12:05:26 23:06:07,System Idle Process,5
12:05:26 23:06:12,System Idle Process,5
12:05:26 23:06:17,System Idle Process,5
12:05:26 23:06:22,System Idle Process,5
12:05:26 23:06:27,System Idle Process,5
12:05:26 23:06:32,System Idle Process,5
12:05:26 23:06:37,System Idle Process,5
12:05:26 23:06:42,System Idle Process,5
12:05:26 23:06:47,System Idle Process,5
12:05:26 23:06:52,System Idle Process,5
12:05:26 23:06:57,System Idle Process,5
12:05:26 23:07:02,System Idle Process,5
12:05:26 23:07:07,System Idle Process,5
12:05:26 23:07:12,System Idle Process,5
12:05:26 23:07:17,System Idle Process,5
12:05:26 23:07:22,System Idle Process,5
12:05:26 23:07:27,System Idle Process,5
12:05:26 23:07:32,System Idle Process,5
12:05:26 23:07:37,System Idle Process,5
12:05:26 23:07:42,System Idle Process,5
12:05:26 23:07:47,System Idle Process,5
12:05:26 23:07:52,System Idle Process,5
12:05:26 23:07:57,System Idle Process,5
12:05:26 23:08:02,System Idle Process,5
12:05:26 23:08:07,System Idle Process,5
12:05:26 23:08:16,System Idle Process,5
12:05:26 23:08:37,System Idle Process,5
12:05:26 23:08:42,System Idle Process,5
12:05:26 23:08:47,System Idle Process,5
12:05:26 23:08:52,System Idle Process,5
12:05:26 23:08:57,System Idle Process,5
12:05:26 23:09:02,System Idle Process,5
12:05:26 23:09:07,System Idle Process,5
12:05:26 23:09:12,System Idle Process,5
12:05:26 23:09:17,System Idle Process,5
12:05:26 23:09:22,System Idle Process,5
12:05:26 23:09:27,System Idle Process,5
12:05:26 23:09:32,System Idle Process,5
12:05:26 23:09:37,System Idle Process,5
12:05:26 23:09:42,System Idle Process,5
12:05:26 23:09:47,System Idle Process,5
12:05:26 23:09:52,System Idle Process,5
12:05:26 23:09:57,System Idle Process,5
12:05:26 23:10:02,System Idle Process,5
12:05:26 23:10:07,System Idle Process,5
12:05:26 23:10:12,System Idle Process,5
12:05:26 23:10:17,System Idle Process,5
12:05:26 23:10:22,System Idle Process,5
12:05:26 23:10:27,System Idle Process,5
12:05:26 23:10:32,System Idle Process,5
12:05:26 23:10:37,System Idle Process,5
12:05:26 23:10:42,System Idle Process,5
12:05:26 23:10:47,System Idle Process,5
12:05:26 23:10:52,System Idle Process,5
12:05:26 23:10:57,System Idle Process,5
12:05:26 23:11:02,System Idle Process,5
12:05:26 23:11:07,System Idle Process,5
12:05:26 23:11:12,System Idle Process,5
12:05:26 23:11:17,System Idle Process,5
12:05:26 23:11:22,System Idle Process,5
12:05:26 23:11:27,System Idle Process,5
12:05:26 23:11:32,System Idle Process,5
12:05:26 23:11:37,System Idle Process,5
12:05:26 23:11:42,System Idle Process,5
12:05:26 23:11:47,System Idle Process,5
12:05:26 23:11:52,System Idle Process,5
12:05:26 23:11:57,System Idle Process,5
12:05:26 23:12:02,System Idle Process,5
12:05:26 23:12:07,System Idle Process,5
12:05:26 23:12:12,System Idle Process,5
12:05:26 23:12:17,System Idle Process,5
12:05:26 23:12:22,System Idle Process,5
12:05:26 23:12:27,System Idle Process,5
12:05:26 23:12:32,System Idle Process,5
12:05:26 23:12:37,System Idle Process,5
12:05:26 23:12:42,System Idle Process,5
12:05:26 23:12:47,System Idle Process,5
12:05:26 23:12:52,System Idle Process,5
12:05:26 23:12:57,System Idle Process,5
12:05:26 23:13:02,System Idle Process,5
12:05:26 23:13:07,System Idle Process,5
12:05:26 23:13:12,System Idle Process,5
12:05:26 23:13:17,System Idle Process,5
12:05:26 23:13:22,System Idle Process,5
12:05:26 23:13:27,System Idle Process,5
12:05:26 23:13:32,System Idle Process,5
12:05:26 23:13:37,System Idle Process,5
12:05:26 23:13:42,System Idle Process,5
12:05:26 23:13:47,System Idle Process,5
12:05:26 23:13:52,System Idle Process,5
12:05:26 23:13:57,System Idle Process,5
12:05:26 23:14:02,System Idle Process,5
12:05:26 23:14:07,System Idle Process,5
